location_id,hk_location_id,as_of_day
Philadelphia_Pennsylvania_19134,aada3270b52bdc35d9c66b79172fd65eb4d3107fbf659b5c7887648ec3a71399,2025-10-16
Dallas_Texas_75217,4111bc0de6ae81bfa1225c37c667f79cee2e55116e00f066bdd2a772d876db07,2025-10-16
Naperville_Illinois_60540,fe4361d1e4816335fa21867507ed67660865df4f1b3079986c804634d3d8a6a3,2025-10-16
Gilbert_Arizona_85234,83eefa039012c1cbf0bb954c6d403928a827c44beab8a71903fbc1aa9ecb0884,2025-10-16
Dallas_Texas_75220,3b5a0bb041e60b5e6e241abdd4cb2eb61f42371edf2b3ebdee2a54c784db2bc5,2025-10-16
Franklin_Tennessee_37064,127d4b7334413dd58874de16c84bb61f4583bebc40df953a8154f360ddfc057f,2025-10-16
New York City_New York_10011,05b6dcf56f540e15aa2247c0e5b735da6fe39a431f8344872fa7787976e0a363,2025-10-16
New Bedford_Massachusetts_2740,370d2766341ea46d1c629135542cc7fe024c91ab3a205e589f0df407d59abca1,2025-10-16
Florence_South Carolina_29501,c5bff2a99a78828396bf3994c9770fedc5e205ccfa86036e6334f2df9968bec9,2025-10-16
Edinburg_Texas_78539,b7ca86b41fb3b570ac33c1290fae26a308edabbce21387bc4411364607c4df3c,2025-10-16
Morristown_New Jersey_7960,ef36a93549a62f34720120d7545e9aca01cd9ac78f09e0cb4ba4172f7189924f,2025-10-16
Cary_North Carolina_27511,60ac3c6dd3892aef1afbd738744f371058149046c97c4385b0c4fbe9dd2870ad,2025-10-16
La Mesa_California_91941,5e010aa224e0ce2c862711eb30b0f82a3a30ddef95ced0a14842f90ccce9bb29,2025-10-16
Beaumont_Texas_77705,2e7074ca2821bc93f2ffea72e9ef6f57c9c4e9bc58739d2b7a9a63091589b5b8,2025-10-16
Elyria_Ohio_44035,82fe4dd8ddd5eeb529724616a36f2c3ee3e51cb174e9355125eda27d0f00e119,2025-10-16
Hagerstown_Maryland_21740,3c12f9df5f4af35ca4a64d00925637202c57be9ff2371110df107b135543ec9f,2025-10-16
Springdale_Arkansas_72762,549c39808030cb488fb968ea457e34c774d64ac26bbaabc8518982b299657683,2025-10-16
Roseville_California_95661,98e167df98b392631138bbef8ed571fce1cb60a29d0dc3d038a98b8845a1cb0d,2025-10-16
Green Bay_Wisconsin_54302,4b6609c492e45ea97cd4e98f1e3920f1e1fc596f27c2d02f9ccd5165c7940cdb,2025-10-16
Mount Vernon_New York_10550,33359443bba85adaa93a9a1e0874fa24d443bdfc5a57a66ba4b8c9740f82189b,2025-10-16
Round Rock_Texas_78664,4fbcf20b894f8e2577ee98f9e29f0ceae83bbd7f48f73910dbf26fcfccb381dc,2025-10-16
Jackson_Tennessee_38301,ffa0cfd372625c4df40ec3b49420a678748296495409b92e2cf1d21f1457857e,2025-10-16
Daytona Beach_Florida_32114,b07350d6c0437d76b67f386be315f32d1d0588c0b36c7f1dd0bb63561f6eef60,2025-10-16
Quincy_Massachusetts_2169,bab009183d65166f6c11bdb2bc2b879c47b5bf448a938b3d6cf9409541992a46,2025-10-16
Sandy Springs_Georgia_30328,e58dc59d4298086703d4de7fbdb5e7411555e7a96a79210fae49b6e11e3b2441,2025-10-16
Montebello_California_90640,28d77f95f63d051691197fee3a57dd671b6547ad3f960a646a43c83b7c42b603,2025-10-16
Brownsville_Texas_78521,b1544f0be6de41c96c140857ffdd13e447b411285cc69b6ef9f7b18ebab4aaa7,2025-10-16
Boynton Beach_Florida_33437,dc3b15cdfca84a81eb3768cdff2765bd63c96c98bb1737146458bf0d93185c50,2025-10-16
Missouri City_Texas_77489,b12b0bc35f0c9755b9a88bdd269f51de4f3a9b372613c922f9fa9544092580f0,2025-10-16
Las Vegas_Nevada_89115,8b54a31b42e528f2f449cc175766643ee856a03a840275a3f3ca15366e1c0500,2025-10-16
Tulsa_Oklahoma_74133,c1a9023e2800b9d56bba582675ba308d84af1f31847d67c27ae79ff7e18ade18,2025-10-16
Keller_Texas_76248,96e52c35886a4994736e58d8e05e22834f0b8b6c3b129d335aaab68e5c12e5d4,2025-10-16
Glendale_Arizona_85301,73c0ccc69accbbaa39ee5656a9a1665c7ab956af78e42874a5711f5473a8b1e7,2025-10-16
Clarksville_Tennessee_37042,41a1e6e6b23c43f58206247107f034ae92659745ffb6a72b155919ca398f1fb8,2025-10-16
Avondale_Arizona_85323,53eb8cc4e4cfb4acb8cab250c641cbafd73e3b674c02623dbec28792c0e053f4,2025-10-16
Delray Beach_Florida_33445,52acf5390d2d7a6b33f89d2d6c4b4e707a4e2a5ad26bd45ce86fb37e428a4633,2025-10-16
Miami_Florida_33180,293afd29924d30b792a43e01273377e80070a0e3821b9ee293f6ae0fda313027,2025-10-16
Monroe_North Carolina_28110,704b9eb50268916bd8f9f6d72b89f8e94a82d216a44b7307b1873f31c1376358,2025-10-16
San Francisco_California_94110,7ae2cd691182a0ebd17a3510868f37286cedcc8f4a7e2d5125c8ffe5b703b6bd,2025-10-16
Salinas_California_93905,1b11cadff01ddd2b974ddcb10d83f347d469237ee70b6d98acbac845fb53054a,2025-10-16
Hattiesburg_Mississippi_39401,e09f5d46d5ee8a01d63ca4d4cd04e70d6bef7e3f3aa1c93e170fc38222bb383a,2025-10-16
Draper_Utah_84020,4a5ffc556a00b9de5e43c9b1a5c3c15a50981edd5e72e29aa75b9dc711fa48c3,2025-10-16
Apple Valley_Minnesota_55124,fe427699d52b087f877147c995e9cd05d38f320491af570568a8b6cc15bfae44,2025-10-16
Chapel Hill_North Carolina_27514,e45faba8b6e531767540ecb9302237fe4d5b8040c33f8b36d05e11eb3541b0b3,2025-10-16
Encinitas_California_92024,06fd3d3969a2e26928ebb283c8cdd1e68822b434b1b916c9bd01f4687ab35413,2025-10-16
Lebanon_Tennessee_37087,5daf139a797324822bd9eb75ae05eb2688ea6e270201d83ee06307adfd540ea1,2025-10-16
Westland_Michigan_48185,07b8faf9ddc28784d054fbd8e3d62d78c922fa90ab95f042bd6a22c692332505,2025-10-16
New Albany_Indiana_47150,9086787fb888b5746f49bef8ee4c0c47cc494035d087b5e23f77171845c59e4a,2025-10-16
Park Ridge_Illinois_60068,9e45b79d01240f2e21244401c9a62273ddc3b6ced687a39f75c3bd13d9239c64,2025-10-16
Leominster_Massachusetts_1453,6b32e3720480a3eb77e20eac0f30118b66cd00c963cb528233c1907dbd7c00b2,2025-10-16
Sterling Heights_Michigan_48310,94bced4d5a8596bb68b30d3bc2f8dd3cf9e56387b511c063ede8bb669591e081,2025-10-16
Overland Park_Kansas_66212,ed02b62ee469652cf25e71635772e592f286a0a536120bc59657f2ae85d3dd5f,2025-10-16
Texarkana_Arkansas_71854,d6f512455521db9d443d648b631e82f704b4432fef25c90aab24b39621be90af,2025-10-16
Redlands_California_92374,7eb499fff9aabaca35a0e66d416377c35a04adedeaaa7bfb8b4e3066032b1fa5,2025-10-16
Denver_Colorado_80219,a1e007835c2b1e625b5348d0518e965ca0ee95a8bc04922af18af977c0e4df3d,2025-10-16
Ormond Beach_Florida_32174,cdca742eb6e718ec180a83c01e09bba931b7e8f438a9241fd1fa6d501ae3033c,2025-10-16
Rome_New York_13440,bb2027081b557927659d9af94273b34a67af3dbf56f6144b6464823abbbce599,2025-10-16
Pembroke Pines_Florida_33024,14f687d7422d3e6afe5b50865882fe57a29e7acb6e94b4aeef5beb333c46c9a1,2025-10-16
Gladstone_Missouri_64118,e40f1fcb3c902686f09f48a27745786a225abbc6b5029d20965a34de66c388a0,2025-10-16
Milwaukee_Wisconsin_53209,0a22efbb9a420f30069977f658ecd1ab47d0dd24dde78a6be2585620751ff7ad,2025-10-16
Omaha_Nebraska_68104,82d3415868a4aa382bb68d730c0eb2f7794e98669c4cdb7030d8f77403b788f9,2025-10-16
Smyrna_Georgia_30080,b421381de28920a02d42a136887b38dde15fc9ce9a06be9847cb3261a387e013,2025-10-16
Albuquerque_New Mexico_87105,3d0305a2d33ef32c5e546f57c1c3b06d11a164bab35afbe3ebe75a07412cff70,2025-10-16
Arlington Heights_Illinois_60004,b8e3a857b31b283518b54966fee116e8f4b02a558da7b7c089a579ee9c27f68e,2025-10-16
San Jose_California_95123,8feb0dafd7cb13d9038a7c5dc303e1763ffa13fcbe23995bae7dc6f1dfe7bdee,2025-10-16
Costa Mesa_California_92627,64eae5671429245c034c9d7edaa7e4f5c3fcd02a2dbbbe858ca2d9603197678b,2025-10-16
Richmond_Virginia_23223,111fb2adbcc987b4b904d0f08779949451f3ea1fb8aa1838438396439ac28a20,2025-10-16
Riverside_California_92503,d07979ab67d514106bd939366ea96668f583500de6af7b57d14cee408b9966ee,2025-10-16
Tigard_Oregon_97224,4e1d0b977d57ac5ff0737c351fafd4cedcddbdcd729b9816767997a23fd8d5dc,2025-10-16
Lake Charles_Louisiana_70601,e0c49761c42524a5fcae1f3b2ca04f6c89720629f44040d6f92208793f77fe10,2025-10-16
Dubuque_Iowa_52001,6a50f06e04bef0d0df80184c8ed68b25b7672487b55b8e816d6063d794a4aa3b,2025-10-16
Atlantic City_New Jersey_8401,50c221f17816b431ce2a8d83549fe781b9d33078c0286e7c128d30875b5f5ade,2025-10-16
Burlington_North Carolina_27217,ba9cf2fb767a689bfbb0dd319563a829ee08158665a4f30945a6cb3c1b425b78,2025-10-16
Torrance_California_90503,f5c463f61bd6ff3cdbb96f8fda2ae8392c76e342c9b74fb044c7816380a0e9e2,2025-10-16
Oakland_California_94601,c2f67a956367af64db216ada851aa06f179e32f0b65c7868e681c293a23de9f1,2025-10-16
Olathe_Kansas_66062,bbda922212edbe6d897fec307f3959c766a1e2930876c75070583ff751c0be56,2025-10-16
Conroe_Texas_77301,725d65f52979274ec7cd60ba75d46c429e71627a7100d9c34b02488a8f727bc8,2025-10-16
Yuma_Arizona_85364,8230942930ccf44231ae8cb95a2cd509ff45353d659e66ec8373b15fe2d4e455,2025-10-16
Salt Lake City_Utah_84106,bba86191e41fadc9681a716f3620804820c48a81a305b3240a8294875ee49c45,2025-10-16
Eugene_Oregon_97405,09ebd1fe8a67123e100690e035ca5365b22073fe4242c17dfa248cc07d33d008,2025-10-16
Burlington_Iowa_52601,2db1d8b196b8b5c75f867462ad2f68e90f240e22e2af77110bdbc3626e9635c8,2025-10-16
San Bernardino_California_92404,36a6c91ade748c84795e59eec82967f2ed98929dd219b1f85ffe3602013b77ec,2025-10-16
Sparks_Nevada_89431,382c2b4663a1d6fa09005c62adab17fe8be1b20c2369c46842918f86052eac06,2025-10-16
Grand Rapids_Michigan_49505,4dcc3b784384c89e51f70210ce04d345e8ad59ae12a8b22bb4796b3e8a8fd5a1,2025-10-16
Redwood City_California_94061,ed2065be41df5502d8e4e4a1748c949ac77dae2df229aea59d3bb4fbf1da7ca6,2025-10-16
San Antonio_Texas_78207,dcb69fea2995029553410ad584390c929bef9ef08d9ad73f93aeaf143dc5a623,2025-10-16
Logan_Utah_84321,bb96c54f3c124da3a684c0fd7c3e614d90b02aa5cac4e5252c70c6376947f238,2025-10-16
Kenner_Louisiana_70065,842051c4545712265148ddc3c44f82c65fd2a7c955f19f9c51325d9d8d06cfa8,2025-10-16
Warwick_Rhode Island_2886,5b7ba829d0c66b7d6307c6d0960b057fecc453bb28b7b9cfde5bf161c0f08fea,2025-10-16
San Diego_California_92105,820aa9f70726d5dacf7ebe34598250150b611a1e688620b29ab9ed2b2277db5f,2025-10-16
Bellevue_Washington_98006,76bd7e33bddf2eb4f41c920dacd38e0a73406fca83421867cf049b2f3d6d33da,2025-10-16
Jamestown_New York_14701,e4e6080ffea7c9455b34192585c4ff9ee51ffbda9b64fd1e9957b2a780bfd6ab,2025-10-16
Redding_California_96003,97f7a95a4b1b0ed68cb7cd55117ea8018dec31a9e413bb3af61bb3ad13d4f9c9,2025-10-16
Westfield_New Jersey_7090,dc27de9af7e921e2acbc1e757f956cb0363a39aa8af3ed2398040e40e8c2355b,2025-10-16
Fairfield_California_94533,46b68a352065a1968684d38979bdd7aaa663e73197d79b08557a00d3f3c29539,2025-10-16
Thornton_Colorado_80229,a333f9ecab5f84fec7dc8da0ce94edf8514bf18afd90f0ac050bd5e95753ae07,2025-10-16
Carlsbad_New Mexico_88220,f7b351a6155e2468eaafcdd6e1e6524f47ea2abaaeb0011bf208b8e075d7d6ec,2025-10-16
Monroe_Louisiana_71203,ba6daebee85eb34f1c8b4620954db7d344155fbb5567a2c7a0e22f65e37611a3,2025-10-16
Evanston_Illinois_60201,5a5b62e451d187b86e1ff6fa70fbed2d71a4d6c6742d1beb96eb3acca9318ca4,2025-10-16
Pueblo_Colorado_81001,a7cb2efda2bfd3255b3e941cba8f8a6fad654cb0ab685dd9ad0521dda47afdb3,2025-10-16
Kent_Ohio_44240,5f4b4b70c134fad28a07dd37e66e432668c7581b55c1c81657e7c0e5620869e3,2025-10-16
Eau Claire_Wisconsin_54703,274a6503a1c97507f2f3a5bb5dac8be379d34b7259b18cb8c6d9d9c51e9d758e,2025-10-16
Bristol_Connecticut_6010,2310655442512076704accc38474d7875372c2cd82a5ca0c65fe0bb2910d8842,2025-10-16
Columbia_Missouri_65203,ca69149f706ef51922dd96f1a390270e9fde293a72c50d3e662458fd07710b72,2025-10-16
Murray_Utah_84107,7e03e8f4e05e9521a0bdc1519d0b0a5020de052d6272244e1e5a6a9d49c3a942,2025-10-16
Temecula_California_92592,5706fda502b778de9af16b23f2444a05a1e34ea7beb8d4d6f49dd242fe90e6eb,2025-10-16
Laurel_Maryland_20707,e7b7b971cf4d11d32f4883069a25708306fa33bb4cb9a41e87887517f25f90f1,2025-10-16
Medina_Ohio_44256,a05d83e744feaa4b96d283d12d4a573668a04d04542c2676e46d45ad63a31896,2025-10-16
Layton_Utah_84041,ef62bd59c03bdbadab0e4f41ba1e0a0dc5b6121fc795ecbd868078a766ff7246,2025-10-16
Reading_Pennsylvania_19601,131bb4723fc65cda87331d56130826890cf2cfea429c0a09c7a090062f7d9179,2025-10-16
Saint Cloud_Minnesota_56301,c9e6a3bb67ff788d6e957108bc727343a177667c4d17d0a5d11cc884374d67b7,2025-10-16
New York City_New York_10024,d7c4bb35a7085c7fe32541da7092b4816fafbf945d3411aca23d5912bac8d53a,2025-10-16
Cedar Rapids_Iowa_52402,60bb6de9b038e235387bcf29224d9234299726888e18d90c59121199116e711e,2025-10-16
Port Orange_Florida_32127,d65924a2a1ef929912524fe8667a98099347b15cd3433653c95a6461dd019ece,2025-10-16
Hendersonville_Tennessee_37075,837df058caab37f656de5829e2dc55258efb88e4bb9f449c85db7277074ae739,2025-10-16
Normal_Illinois_61761,7b555cdc05ef93715d2447ccf4384be9e99067caa532628cd3de3f8c1a363a18,2025-10-16
Columbus_Indiana_47201,61557444a13617f0d086cf3e50b7cb847e94e2fbf7351b6ca61c7d7034215600,2025-10-16
Provo_Utah_84604,79f58bc1bc124047c77d09380c86948db878ced1a31758b299a37892723ea82a,2025-10-16
Santa Maria_California_93454,b0d18273c1d7d6d3f31488647e38b87d34046dbfb0fa420032b6af138c17f6c8,2025-10-16
Coral Springs_Florida_33065,5670df7ef24fb23e0ea65eaea5c03830818159ea5704cab0b75ff7fd35ce9ee4,2025-10-16
Bakersfield_California_93309,8d5c29cb2f4afbb78251600a0ac3c9ccda675fca1d3dc64c2516ba73eca26242,2025-10-16
Cambridge_Massachusetts_2138,153933f721fac60fe16c67a40735aadffcc79d0e1b33cf62d38fc5b961023a18,2025-10-16
Romeoville_Illinois_60441,667726a46b92fa5593a60862e653efbfc4d661056b6d86dc5e107225e7195fbf,2025-10-16
Minneapolis_Minnesota_55407,34400c459061c1cc9ad542903e2416f8cd306c8f19b78dc574fca6c2b7e670de,2025-10-16
Tyler_Texas_75701,788d2f99f11f65f36583efbe0ab2f61826470339cc9e0b5501b4922553834035,2025-10-16
Boca Raton_Florida_33433,da3032c5ffdfd8e8d20290f5a5695f5ebbb89b409cd48d6e70d9e49044ce1844,2025-10-16
Woodland_California_95695,7f87c5cd158b64fe1fd658956b2e5d9455e2ac4345eaa1651a57ef2ca4ebaa4e,2025-10-16
Cranston_Rhode Island_2920,331a888fb99447d83f9d7b32ba51ae471b69be326b166ac97500205ea3a09eb8,2025-10-16
Fargo_North Dakota_58103,59e759a43f33b99e12aafcf41d57b3ace744ed53615ab742383fac47a0097ae6,2025-10-16
Lawton_Oklahoma_73505,35dbaf68485803d5d8067799af3738fe1cfb43fb732cdf422b6b3f52fa8f4c74,2025-10-16
Franklin_Massachusetts_2038,94d825a33b6c54b51e02ae6aecf9136104236f0129f1167a1b84dc6dffca6e4e,2025-10-16
Broomfield_Colorado_80020,8618d86983dcd52023eef77e61290a45ec8d0631b8a46b88fba1c40fc1105b05,2025-10-16
Bethlehem_Pennsylvania_18018,65b76d7f07619bd2392850ed747a911940fc632d968afcf5ad34050b65799f9a,2025-10-16
Fayetteville_Arkansas_72701,21872e8e856c66cd8dedbb395ed4538ac0c7ddfaf90008074ccf617bb6bc8ba0,2025-10-16
Fort Lauderdale_Florida_33311,d71e4f11171f721d56fa94dfc9a099cd87a4d6ae36e28a3f374f739196812b4a,2025-10-16
Lakewood_California_90712,db7dd4398a60b5823298157f06d9d9b4b466dbc73f4d23ac2f6a317c54b3b769,2025-10-16
Marietta_Georgia_30062,fd71a4ec1615f6159dfe0736d2ec09a434a4b349556aeed15ba1770313c7082f,2025-10-16
Helena_Montana_59601,e45fd126e3d15f13ce93c2117f3263cfdb24c3726fd209241c3a59519d38b885,2025-10-16
Detroit_Michigan_48227,f3c025e5a3471b74c9ea539e07f72f3dcfd9e723203b91a893f22fc928cfd3a6,2025-10-16
Bristol_Tennessee_37620,bffb4efc9fe89ec9345e0a4cc1ff0c0895fdfa70c22426f3a0d269f008b00f8e,2025-10-16
Long Beach_New York_11561,f2d0dd648894bf8b260907394b41eaf191571b4cd05d5a261c48068a5d875383,2025-10-16
Florence_Alabama_35630,cbd694a34731b6a8228c4ca4382b8b5e9af72e79caa72ea31827267f25bcf1dc,2025-10-16
Texas City_Texas_77590,84b047d0af4dd6cd78129762a935a607220bf3bd1b88d67950efe212c3971457,2025-10-16
Yonkers_New York_10701,990f03e45e49a759dc5fe359de13440b89d815321a27d643a77f1f184645c427,2025-10-16
Midland_Michigan_48640,5131d8583595df4c95d9b91c19564efa697bfbebb2ec04c28017aad2094130ce,2025-10-16
Holyoke_Massachusetts_1040,733f5ad01c45f833f828a396e904052d75963df797253d9f29da44077a51da52,2025-10-16
Louisville_Kentucky_40214,af44ceff4e331f3b49c8a96123765d24c7847d47b456a1468d0c953b7c0584ad,2025-10-16
Watertown_New York_13601,b4beb3d123555502a4d1588f93eb9aab3f200a07bec71a5bf62f0ce0df660029,2025-10-16
Lancaster_Ohio_43130,f637ca42cb0421add628f6883ab1dacc0a5f33f593027449a6ffc334b2b40f58,2025-10-16
Caldwell_Idaho_83605,a0189755940e0e26eb038b754eeda0acb481dc11560a7959da06d7c09d94f9cb,2025-10-16
Lowell_Massachusetts_1852,9e15766656d08c06e69bdaa824ddd16c720549abaae7784f915b746cc1e096df,2025-10-16
New York City_New York_10035,1f5727f805dd6e9bcbbcfd11f1708fe90412e0955f15ac60c558747d648c3873,2025-10-16
Columbus_Ohio_43229,4899f33e59a7917802c690a3fa3eea8b42633093b850bd73d340407a5af7e501,2025-10-16
Salem_Virginia_24153,415e24a142424ea6fb8bb628329ab04f7be6f1092efb0cba13625eb0d85c3a2a,2025-10-16
Littleton_Colorado_80122,7cb87ffdd27cc2db928238e8c14447b6119977ee23029ad080730ea8e03b657a,2025-10-16
Springfield_Ohio_45503,dd8d18377a239061200de551cc188c7957f91e9caab3e4d7ffefef4004713e4b,2025-10-16
Newark_Delaware_19711,89bb99da1869457a61e7abcaa8756f5641533bae7995d67bd071f4e52bab5a27,2025-10-16
